index,name,approach,human audit result (Jeff),human audit notes (Jeff),human audit result (Anita),human audit notes (Anita)
125,funilrys@pyfunceble__a2756c4f__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
126,georg-un@kneebow__e48f3aac__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
127,georg-un@kneebow__e48f3aac__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
128,georg-un@kneebow__e48f3aac__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
129,getpatchwork@git-pw__02c38bef__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
130,getpatchwork@git-pw__02c38bef__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
131,getpatchwork@git-pw__02c38bef__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
132,getpatchwork@git-pw__02c38bef__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
133,getpatchwork@git-pw__02c38bef__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
134,getpatchwork@git-pw__02c38bef__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
135,getpatchwork@git-pw__02c38bef__tabulate__prettytable,"Agentic-RepoFlow full iterative, 5-cycle",,,,
136,getpatchwork@git-pw__02c38bef__tabulate__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
137,gillesvink@nukedockerbuild__69afa626__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
138,gillesvink@nukedockerbuild__69afa626__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
139,gillesvink@nukedockerbuild__69afa626__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
140,gillesvink@nukedockerbuild__69afa626__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
141,git-shogg@finsec__e64e34a9__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
142,github@automatic-contrib-prs__3c357a2e__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
143,github@automatic-contrib-prs__3c357a2e__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
144,github@cleanowners__ab30fba5__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
145,github@cleanowners__ab30fba5__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
146,github@contributors__107543a7__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
147,github@contributors__107543a7__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
148,github@evergreen__3189dd33__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
149,github@evergreen__3189dd33__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
150,github@issue-metrics__44877577__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
151,github@issue-metrics__44877577__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
152,github@stale-repos__0e3c3084__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
153,github@stale-repos__0e3c3084__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
154,giuliorossetti@ash__1106b609__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
155,giuliorossetti@ash__1106b609__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
156,giuliorossetti@ash__1106b609__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
157,giuliorossetti@ash__1106b609__seaborn__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
158,giuliorossetti@ash__1106b609__seaborn__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
159,giuliorossetti@ash__1106b609__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
160,giuliorossetti@ash__1106b609__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
161,glassonion1@anonypy__2a172285__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
162,glassonion1@anonypy__2a172285__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
163,glassonion1@anonypy__2a172285__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
164,google@github_nonpublic_api__895a9075__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
165,google@github_nonpublic_api__895a9075__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
166,google@github_nonpublic_api__895a9075__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
167,google@github_nonpublic_api__895a9075__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
168,google@github_nonpublic_api__895a9075__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
169,google@github_nonpublic_api__895a9075__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
170,goranvrbaski@python-namesilo__4c867e65__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
171,goranvrbaski@python-namesilo__4c867e65__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
172,goranvrbaski@python-namesilo__4c867e65__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
173,goranvrbaski@python-namesilo__4c867e65__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
174,goranvrbaski@python-namesilo__4c867e65__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
175,goranvrbaski@python-namesilo__4c867e65__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
176,green-api@whatsapp-api-client-python__82b8d509__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
177,green-api@whatsapp-api-client-python__82b8d509__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
178,green-api@whatsapp-api-client-python__82b8d509__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
179,green-api@whatsapp-api-client-python__82b8d509__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
180,green-api@whatsapp-api-client-python__82b8d509__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
181,green-api@whatsapp-api-client-python__82b8d509__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
182,gregretkowski@llmsec__fb775c9a__jinja2__mako,"Agentic-RepoFlow full iterative, 5-cycle",,,,
183,growthbook@growthbook-python__699fba51__aiohttp__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
184,growthbook@growthbook-python__699fba51__cryptography__pycryptodome,"Agentic-RepoFlow full iterative, 5-cycle",,,,
185,growthbook@growthbook-python__699fba51__urllib3__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
186,growthbook@growthbook-python__699fba51__urllib3__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
187,growthbook@growthbook-python__699fba51__urllib3__requests,"Agentic-RepoFlow full iterative, 5-cycle",,,,
188,gugarosa@opytimizer__e050d12f__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
189,gugarosa@opytimizer__e050d12f__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
190,gugarosa@opytimizer__e050d12f__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
191,gugarosa@opytimizer__e050d12f__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
192,gugarosa@opytimizer__e050d12f__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
193,heavenshell@py-doq__75acafb9__toml__tomli,"Agentic-RepoFlow full iterative, 5-cycle",,,,
194,heavenshell@py-doq__75acafb9__toml__tomlkit,"Agentic-RepoFlow full iterative, 5-cycle",,,,
195,hwonyo@naver_talk_sdk__bf64ca59__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
196,hwonyo@naver_talk_sdk__bf64ca59__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
197,hxlstandard@libhxl-python__5d18d9f3__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
198,hxlstandard@libhxl-python__5d18d9f3__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
199,hxlstandard@libhxl-python__5d18d9f3__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
200,hxlstandard@libhxl-python__5d18d9f3__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
201,hxlstandard@libhxl-python__5d18d9f3__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
202,hxlstandard@libhxl-python__5d18d9f3__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
203,hxlstandard@libhxl-python__5d18d9f3__urllib3__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
204,hxlstandard@libhxl-python__5d18d9f3__urllib3__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
205,hxlstandard@libhxl-python__5d18d9f3__urllib3__requests,"Agentic-RepoFlow full iterative, 5-cycle",,,,
206,icane@pyaxis__5217b0e8__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
207,icon-project@icon-sdk-python__50c75a50__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
208,infomaniak@certbot-dns-infomaniak__33519931__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
209,infomaniak@certbot-dns-infomaniak__33519931__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
210,infomaniak@certbot-dns-infomaniak__33519931__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
211,infomaniak@certbot-dns-infomaniak__33519931__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
212,infomaniak@certbot-dns-infomaniak__33519931__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
213,infomaniak@certbot-dns-infomaniak__33519931__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
214,internetarchive@openlibrary-client__7e45d512__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
215,invinet@python-en16931__5e3a4a6c__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
216,invinet@python-en16931__5e3a4a6c__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
217,invinet@python-en16931__5e3a4a6c__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
218,invinet@python-en16931__5e3a4a6c__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
219,invinet@python-en16931__5e3a4a6c__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
220,invinet@python-en16931__5e3a4a6c__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
221,ioggstream@draft-polli-restapi-ld-keywords__f2cb1952__jsonschema__cerberus,"Agentic-RepoFlow full iterative, 5-cycle",,,,
222,iterative@dvcyaml-schema__0cbc8bf7__jsonschema__cerberus,"Agentic-RepoFlow full iterative, 5-cycle",,,,
223,janushendersonassetallocation@loman__94813f8a__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
224,janushendersonassetallocation@loman__94813f8a__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
225,janushendersonassetallocation@loman__94813f8a__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
226,jborchma@qtrade__7f89efd9__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
227,juanjosalvador@nyaapy__38df01c2__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
228,juanjosalvador@nyaapy__38df01c2__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
229,juanjosalvador@nyaapy__38df01c2__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
230,juanjosalvador@nyaapy__38df01c2__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
231,juanjosalvador@nyaapy__38df01c2__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
232,juanjosalvador@nyaapy__38df01c2__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
233,julian@venvs__71ef4365__attrs__cattrs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
234,julian@venvs__71ef4365__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
235,julian@venvs__71ef4365__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
236,junah201@atcoder-readme-stats__c41ed032__beautifulsoup4__pyquery,"Agentic-RepoFlow full iterative, 5-cycle",,,,
237,junah201@atcoder-readme-stats__c41ed032__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
238,junah201@atcoder-readme-stats__c41ed032__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
239,junah201@atcoder-readme-stats__c41ed032__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
240,junah201@atcoder-readme-stats__c41ed032__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
