case_id,repo_id,source_library,target_library,disposition,reason
apple@app-store-server-library-python__1202058d__requests__httpx,apple@app-store-server-library-python__1202058d,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__requests__pycurl,apple@app-store-server-library-python__1202058d,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__requests__requests_futures,apple@app-store-server-library-python__1202058d,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__requests__treq,apple@app-store-server-library-python__1202058d,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__requests__urllib3,apple@app-store-server-library-python__1202058d,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
arvatoaws-labs@k8soptimizer__212a7278__requests__aiohttp,arvatoaws-labs@k8soptimizer__212a7278,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
arvatoaws-labs@k8soptimizer__212a7278__requests__httpx,arvatoaws-labs@k8soptimizer__212a7278,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
arvatoaws-labs@k8soptimizer__212a7278__requests__pycurl,arvatoaws-labs@k8soptimizer__212a7278,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
arvatoaws-labs@k8soptimizer__212a7278__requests__requests_futures,arvatoaws-labs@k8soptimizer__212a7278,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
arvatoaws-labs@k8soptimizer__212a7278__requests__treq,arvatoaws-labs@k8soptimizer__212a7278,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
arvatoaws-labs@k8soptimizer__212a7278__requests__urllib3,arvatoaws-labs@k8soptimizer__212a7278,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
astelmach01@tinylang__7ea9f90f__python-dotenv__dynaconf,astelmach01@tinylang__7ea9f90f,python-dotenv,dynaconf,retained_full_594,Included in the published full_594 evaluation set.
astelmach01@tinylang__7ea9f90f__python-dotenv__environs,astelmach01@tinylang__7ea9f90f,python-dotenv,environs,retained_full_594,Included in the published full_594 evaluation set.
authomize@connectors-rest-api-client__3fa115d3__requests__aiohttp,authomize@connectors-rest-api-client__3fa115d3,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
authomize@connectors-rest-api-client__3fa115d3__requests__httpx,authomize@connectors-rest-api-client__3fa115d3,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
authomize@connectors-rest-api-client__3fa115d3__requests__pycurl,authomize@connectors-rest-api-client__3fa115d3,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
authomize@connectors-rest-api-client__3fa115d3__requests__requests_futures,authomize@connectors-rest-api-client__3fa115d3,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
authomize@connectors-rest-api-client__3fa115d3__requests__treq,authomize@connectors-rest-api-client__3fa115d3,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
authomize@connectors-rest-api-client__3fa115d3__requests__urllib3,authomize@connectors-rest-api-client__3fa115d3,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
avast@ep-stats__95f8d93e__fastapi__sanic,avast@ep-stats__95f8d93e,fastapi,sanic,retained_full_594,Included in the published full_594 evaluation set.
avinassh@haxor__8c0cb6be__aiohttp__httpx,avinassh@haxor__8c0cb6be,aiohttp,httpx,baseline_reproducibility,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
avinassh@haxor__8c0cb6be__requests__aiohttp,avinassh@haxor__8c0cb6be,requests,aiohttp,baseline_reproducibility,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
avinassh@haxor__8c0cb6be__requests__httpx,avinassh@haxor__8c0cb6be,requests,httpx,baseline_reproducibility,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
avinassh@haxor__8c0cb6be__requests__pycurl,avinassh@haxor__8c0cb6be,requests,pycurl,baseline_reproducibility,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
avinassh@haxor__8c0cb6be__requests__requests_futures,avinassh@haxor__8c0cb6be,requests,requests_futures,baseline_reproducibility,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
avinassh@haxor__8c0cb6be__requests__treq,avinassh@haxor__8c0cb6be,requests,treq,baseline_reproducibility,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
avinassh@haxor__8c0cb6be__requests__urllib3,avinassh@haxor__8c0cb6be,requests,urllib3,baseline_reproducibility,The repository did not yield a usable baseline test set because pytest collection failed under the current pytest/plugin stack.
azure@azure-functions-durable-python__efa63213__aiohttp__httpx,azure@azure-functions-durable-python__efa63213,aiohttp,httpx,retained_full_594,Included in the published full_594 evaluation set.
bamboo-cms@bamboo__a5140922__click__plac,bamboo-cms@bamboo__a5140922,click,plac,retained_full_594,Included in the published full_594 evaluation set.
bamboo-cms@bamboo__a5140922__click__typer,bamboo-cms@bamboo__a5140922,click,typer,retained_full_594,Included in the published full_594 evaluation set.
bayesiains@nflows__5d223444__matplotlib__altair,bayesiains@nflows__5d223444,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
bayesiains@nflows__5d223444__matplotlib__plotly,bayesiains@nflows__5d223444,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
bayesiains@nflows__5d223444__matplotlib__seaborn,bayesiains@nflows__5d223444,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
beancount@beanquery__51ad2619__click__plac,beancount@beanquery__51ad2619,click,plac,retained_full_594,Included in the published full_594 evaluation set.
beancount@beanquery__51ad2619__click__typer,beancount@beanquery__51ad2619,click,typer,retained_full_594,Included in the published full_594 evaluation set.
bellshade@openseries__59b7a6d7__colorama__rich,bellshade@openseries__59b7a6d7,colorama,rich,retained_full_594,Included in the published full_594 evaluation set.
bellshade@openseries__59b7a6d7__colorama__termcolor,bellshade@openseries__59b7a6d7,colorama,termcolor,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__requests__aiohttp,bheinzerling@bpemb__a75008c1,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__requests__httpx,bheinzerling@bpemb__a75008c1,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__requests__pycurl,bheinzerling@bpemb__a75008c1,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__requests__requests_futures,bheinzerling@bpemb__a75008c1,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__requests__treq,bheinzerling@bpemb__a75008c1,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__requests__urllib3,bheinzerling@bpemb__a75008c1,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__tqdm__alive-progress,bheinzerling@bpemb__a75008c1,tqdm,alive-progress,retained_full_594,Included in the published full_594 evaluation set.
bheinzerling@bpemb__a75008c1__tqdm__progressbar2,bheinzerling@bpemb__a75008c1,tqdm,progressbar2,retained_full_594,Included in the published full_594 evaluation set.
bigcommerce@bigcommerce-api-python__599b27e6__requests__aiohttp,bigcommerce@bigcommerce-api-python__599b27e6,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
bigcommerce@bigcommerce-api-python__599b27e6__requests__httpx,bigcommerce@bigcommerce-api-python__599b27e6,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
bigcommerce@bigcommerce-api-python__599b27e6__requests__pycurl,bigcommerce@bigcommerce-api-python__599b27e6,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
bigcommerce@bigcommerce-api-python__599b27e6__requests__requests_futures,bigcommerce@bigcommerce-api-python__599b27e6,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
bigcommerce@bigcommerce-api-python__599b27e6__requests__treq,bigcommerce@bigcommerce-api-python__599b27e6,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
bigcommerce@bigcommerce-api-python__599b27e6__requests__urllib3,bigcommerce@bigcommerce-api-python__599b27e6,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
blackrock@ingen__a6977a33__aiohttp__httpx,blackrock@ingen__a6977a33,aiohttp,httpx,retained_full_594,Included in the published full_594 evaluation set.
blingenf@copydetect__ba072818__jinja2__mako,blingenf@copydetect__ba072818,jinja2,mako,retained_full_594,Included in the published full_594 evaluation set.
blingenf@copydetect__ba072818__pygments__rich,blingenf@copydetect__ba072818,pygments,rich,retained_full_594,Included in the published full_594 evaluation set.
blingenf@copydetect__ba072818__tqdm__alive-progress,blingenf@copydetect__ba072818,tqdm,alive-progress,retained_full_594,Included in the published full_594 evaluation set.
blingenf@copydetect__ba072818__tqdm__progressbar2,blingenf@copydetect__ba072818,tqdm,progressbar2,retained_full_594,Included in the published full_594 evaluation set.
blockchain-technology-lab@consensus-decentralization__f6dbfbbf__matplotlib__altair,blockchain-technology-lab@consensus-decentralization__f6dbfbbf,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
blockchain-technology-lab@consensus-decentralization__f6dbfbbf__matplotlib__plotly,blockchain-technology-lab@consensus-decentralization__f6dbfbbf,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
blockchain-technology-lab@consensus-decentralization__f6dbfbbf__matplotlib__seaborn,blockchain-technology-lab@consensus-decentralization__f6dbfbbf,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
blockchain-technology-lab@consensus-decentralization__f6dbfbbf__seaborn__altair,blockchain-technology-lab@consensus-decentralization__f6dbfbbf,seaborn,altair,retained_full_594,Included in the published full_594 evaluation set.
blockchain-technology-lab@consensus-decentralization__f6dbfbbf__seaborn__plotly,blockchain-technology-lab@consensus-decentralization__f6dbfbbf,seaborn,plotly,retained_full_594,Included in the published full_594 evaluation set.
blueprints-org@blueprints__b3bb6987__matplotlib__altair,blueprints-org@blueprints__b3bb6987,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
blueprints-org@blueprints__b3bb6987__matplotlib__plotly,blueprints-org@blueprints__b3bb6987,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
blueprints-org@blueprints__b3bb6987__matplotlib__seaborn,blueprints-org@blueprints__b3bb6987,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
blurstudio@hab__177503df__click__plac,blurstudio@hab__177503df,click,plac,retained_full_594,Included in the published full_594 evaluation set.
blurstudio@hab__177503df__click__typer,blurstudio@hab__177503df,click,typer,retained_full_594,Included in the published full_594 evaluation set.
blurstudio@hab__177503df__pygments__rich,blurstudio@hab__177503df,pygments,rich,retained_full_594,Included in the published full_594 evaluation set.
bormando@selenium-tools__52667925__urllib3__aiohttp,bormando@selenium-tools__52667925,urllib3,aiohttp,dependency_only,"The source library occurs only in dependency/configuration metadata, with no editable production-code API usage."
bormando@selenium-tools__52667925__urllib3__httpx,bormando@selenium-tools__52667925,urllib3,httpx,dependency_only,"The source library occurs only in dependency/configuration metadata, with no editable production-code API usage."
bormando@selenium-tools__52667925__urllib3__requests,bormando@selenium-tools__52667925,urllib3,requests,dependency_only,"The source library occurs only in dependency/configuration metadata, with no editable production-code API usage."
capitalone@edgetest__dfc8b73c__click__plac,capitalone@edgetest__dfc8b73c,click,plac,retained_full_594,Included in the published full_594 evaluation set.
capitalone@edgetest__dfc8b73c__click__typer,capitalone@edgetest__dfc8b73c,click,typer,retained_full_594,Included in the published full_594 evaluation set.
capitalone@edgetest__dfc8b73c__tabulate__prettytable,capitalone@edgetest__dfc8b73c,tabulate,prettytable,retained_full_594,Included in the published full_594 evaluation set.
capitalone@edgetest__dfc8b73c__tabulate__rich,capitalone@edgetest__dfc8b73c,tabulate,rich,retained_full_594,Included in the published full_594 evaluation set.
carbonblack@carbon-black-cloud-sdk-python__0a3b0cfb__jsonschema__cerberus,carbonblack@carbon-black-cloud-sdk-python__0a3b0cfb,jsonschema,cerberus,retained_full_594,Included in the published full_594 evaluation set.
certcc@ssvc__20cd0390__jsonschema__cerberus,certcc@ssvc__20cd0390,jsonschema,cerberus,retained_full_594,Included in the published full_594 evaluation set.
chrispappalardo@eparse__6f799d21__click__plac,chrispappalardo@eparse__6f799d21,click,plac,retained_full_594,Included in the published full_594 evaluation set.
chrispappalardo@eparse__6f799d21__click__typer,chrispappalardo@eparse__6f799d21,click,typer,retained_full_594,Included in the published full_594 evaluation set.
cmccomb@trussme__0c7316cf__matplotlib__altair,cmccomb@trussme__0c7316cf,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
cmccomb@trussme__0c7316cf__matplotlib__plotly,cmccomb@trussme__0c7316cf,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
cmccomb@trussme__0c7316cf__matplotlib__seaborn,cmccomb@trussme__0c7316cf,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
codewithemad@apyrat__de1852d8__click__plac,codewithemad@apyrat__de1852d8,click,plac,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
codewithemad@apyrat__de1852d8__click__typer,codewithemad@apyrat__de1852d8,click,typer,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
codewithemad@apyrat__de1852d8__requests__aiohttp,codewithemad@apyrat__de1852d8,requests,aiohttp,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
codewithemad@apyrat__de1852d8__requests__httpx,codewithemad@apyrat__de1852d8,requests,httpx,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
codewithemad@apyrat__de1852d8__requests__pycurl,codewithemad@apyrat__de1852d8,requests,pycurl,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
codewithemad@apyrat__de1852d8__requests__requests_futures,codewithemad@apyrat__de1852d8,requests,requests_futures,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
codewithemad@apyrat__de1852d8__requests__treq,codewithemad@apyrat__de1852d8,requests,treq,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
codewithemad@apyrat__de1852d8__requests__urllib3,codewithemad@apyrat__de1852d8,requests,urllib3,baseline_reproducibility,The baseline tests rely on live media/API responses; the external endpoint returned an HTTP gateway failure and invalid JSON.
coguardio@coguard-cli__48207839__requests__aiohttp,coguardio@coguard-cli__48207839,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
coguardio@coguard-cli__48207839__requests__pycurl,coguardio@coguard-cli__48207839,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
coguardio@coguard-cli__48207839__requests__requests_futures,coguardio@coguard-cli__48207839,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
coguardio@coguard-cli__48207839__requests__treq,coguardio@coguard-cli__48207839,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
coguardio@coguard-cli__48207839__requests__urllib3,coguardio@coguard-cli__48207839,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
colour-science@colour-datasets__aa4ae7be__tqdm__alive-progress,colour-science@colour-datasets__aa4ae7be,tqdm,alive-progress,retained_full_594,Included in the published full_594 evaluation set.
colour-science@colour-datasets__aa4ae7be__tqdm__progressbar2,colour-science@colour-datasets__aa4ae7be,tqdm,progressbar2,retained_full_594,Included in the published full_594 evaluation set.
cordada@lib-cl-sii-python__d750fe31__cryptography__pycryptodome,cordada@lib-cl-sii-python__d750fe31,cryptography,pycryptodome,retained_full_594,Included in the published full_594 evaluation set.
cordada@lib-cl-sii-python__d750fe31__jsonschema__cerberus,cordada@lib-cl-sii-python__d750fe31,jsonschema,cerberus,retained_full_594,Included in the published full_594 evaluation set.
cronitorio@cronitor-python__cdbae557__requests__aiohttp,cronitorio@cronitor-python__cdbae557,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
cronitorio@cronitor-python__cdbae557__requests__httpx,cronitorio@cronitor-python__cdbae557,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
cronitorio@cronitor-python__cdbae557__requests__pycurl,cronitorio@cronitor-python__cdbae557,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
cronitorio@cronitor-python__cdbae557__requests__requests_futures,cronitorio@cronitor-python__cdbae557,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
cronitorio@cronitor-python__cdbae557__requests__treq,cronitorio@cronitor-python__cdbae557,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
cronitorio@cronitor-python__cdbae557__requests__urllib3,cronitorio@cronitor-python__cdbae557,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
cskorpion@vmprof-firefox-converter__e1f6bb79__flask__bottle,cskorpion@vmprof-firefox-converter__e1f6bb79,flask,bottle,retained_full_594,Included in the published full_594 evaluation set.
cskorpion@vmprof-firefox-converter__e1f6bb79__flask__cherrypy,cskorpion@vmprof-firefox-converter__e1f6bb79,flask,cherrypy,retained_full_594,Included in the published full_594 evaluation set.
cskorpion@vmprof-firefox-converter__e1f6bb79__flask__fastapi,cskorpion@vmprof-firefox-converter__e1f6bb79,flask,fastapi,retained_full_594,Included in the published full_594 evaluation set.
cskorpion@vmprof-firefox-converter__e1f6bb79__flask__sanic,cskorpion@vmprof-firefox-converter__e1f6bb79,flask,sanic,retained_full_594,Included in the published full_594 evaluation set.
cskorpion@vmprof-firefox-converter__e1f6bb79__flask__tornado,cskorpion@vmprof-firefox-converter__e1f6bb79,flask,tornado,retained_full_594,Included in the published full_594 evaluation set.
d-rickyy-b@pastepwn__cde6e968__requests__aiohttp,d-rickyy-b@pastepwn__cde6e968,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
d-rickyy-b@pastepwn__cde6e968__requests__httpx,d-rickyy-b@pastepwn__cde6e968,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
d-rickyy-b@pastepwn__cde6e968__requests__pycurl,d-rickyy-b@pastepwn__cde6e968,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
d-rickyy-b@pastepwn__cde6e968__requests__requests_futures,d-rickyy-b@pastepwn__cde6e968,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
d-rickyy-b@pastepwn__cde6e968__requests__treq,d-rickyy-b@pastepwn__cde6e968,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
d-rickyy-b@pastepwn__cde6e968__requests__urllib3,d-rickyy-b@pastepwn__cde6e968,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
danajomar@pyale__d6afae67__matplotlib__altair,danajomar@pyale__d6afae67,matplotlib,altair,retained_full_594,Included in the published full_594 evaluation set.
danajomar@pyale__d6afae67__matplotlib__plotly,danajomar@pyale__d6afae67,matplotlib,plotly,retained_full_594,Included in the published full_594 evaluation set.
danajomar@pyale__d6afae67__matplotlib__seaborn,danajomar@pyale__d6afae67,matplotlib,seaborn,retained_full_594,Included in the published full_594 evaluation set.
datamade@census__dd8b5b5e__requests__aiohttp,datamade@census__dd8b5b5e,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
datamade@census__dd8b5b5e__requests__httpx,datamade@census__dd8b5b5e,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
datamade@census__dd8b5b5e__requests__pycurl,datamade@census__dd8b5b5e,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
datamade@census__dd8b5b5e__requests__requests_futures,datamade@census__dd8b5b5e,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
datamade@census__dd8b5b5e__requests__treq,datamade@census__dd8b5b5e,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
datamade@census__dd8b5b5e__requests__urllib3,datamade@census__dd8b5b5e,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
dave-howard@vsdx__ca31a2c9__jinja2__mako,dave-howard@vsdx__ca31a2c9,jinja2,mako,retained_full_594,Included in the published full_594 evaluation set.
david96182@ninjemail__2a52a8cc__requests__aiohttp,david96182@ninjemail__2a52a8cc,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
