source_library,target_library,method,instances,accepted,not_accepted,success_rate_percent
chardet,cchardet,LLM-GT,1,0,1,0.00
chardet,charset-normalizer,LLM-GT,1,1,0,100.00
click,plac,LLM-GT,9,4,5,44.44
click,typer,LLM-GT,9,1,8,11.11
colorama,rich,LLM-GT,6,4,2,66.67
colorama,termcolor,LLM-GT,6,4,2,66.67
cryptography,pycryptodome,LLM-GT,8,2,6,25.00
fastapi,sanic,LLM-GT,3,0,3,0.00
filelock,portalocker,LLM-GT,1,1,0,100.00
flask,bottle,LLM-GT,2,2,0,100.00
flask,cherrypy,LLM-GT,2,1,1,50.00
flask,fastapi,LLM-GT,2,0,2,0.00
flask,sanic,LLM-GT,2,2,0,100.00
flask,tornado,LLM-GT,2,1,1,50.00
httpx,aiohttp,LLM-GT,4,0,4,0.00
httpx,requests,LLM-GT,4,1,3,25.00
httpx,urllib3,LLM-GT,4,1,3,25.00
importlib-metadata,setuptools,LLM-GT,1,0,1,0.00
jinja2,mako,LLM-GT,7,0,7,0.00
jsonschema,cerberus,LLM-GT,7,0,7,0.00
matplotlib,altair,LLM-GT,16,6,10,37.50
matplotlib,plotly,LLM-GT,16,5,11,31.25
matplotlib,seaborn,LLM-GT,16,3,13,18.75
pygments,rich,LLM-GT,4,1,3,25.00
python-dotenv,dynaconf,LLM-GT,12,7,5,58.33
python-dotenv,environs,LLM-GT,12,7,5,58.33
requests,aiohttp,LLM-GT,57,4,53,7.02
requests,httpx,LLM-GT,56,19,37,33.93
requests,pycurl,LLM-GT,58,12,46,20.69
requests,requests_futures,LLM-GT,57,17,40,29.82
requests,treq,LLM-GT,58,7,51,12.07
requests,urllib3,LLM-GT,58,13,45,22.41
seaborn,altair,LLM-GT,4,2,2,50.00
seaborn,plotly,LLM-GT,5,3,2,60.00
sqlalchemy,sqlobject,LLM-GT,2,1,1,50.00
sqlalchemy,tortoise-orm,LLM-GT,2,1,1,50.00
tabulate,prettytable,LLM-GT,5,1,4,20.00
tabulate,rich,LLM-GT,5,0,5,0.00
toml,tomli,LLM-GT,6,2,4,33.33
toml,tomlkit,LLM-GT,6,3,3,50.00
tqdm,alive-progress,LLM-GT,13,11,2,84.62
tqdm,progressbar2,LLM-GT,13,9,4,69.23
urllib3,aiohttp,LLM-GT,6,0,6,0.00
urllib3,httpx,LLM-GT,6,1,5,16.67
urllib3,requests,LLM-GT,6,1,5,16.67
aiohttp,httpx,Codex,5,0,5,0.00
attrs,cattrs,Codex,5,0,5,0.00
beautifulsoup4,pyquery,Codex,4,0,4,0.00
chardet,cchardet,Codex,1,0,1,0.00
chardet,charset-normalizer,Codex,1,1,0,100.00
click,plac,Codex,9,0,9,0.00
click,typer,Codex,9,0,9,0.00
colorama,rich,Codex,6,4,2,66.67
colorama,termcolor,Codex,6,4,2,66.67
cryptography,pycryptodome,Codex,8,0,8,0.00
fastapi,sanic,Codex,3,0,3,0.00
filelock,portalocker,Codex,1,0,1,0.00
flask,bottle,Codex,2,1,1,50.00
flask,cherrypy,Codex,2,1,1,50.00
flask,fastapi,Codex,2,0,2,0.00
flask,sanic,Codex,2,2,0,100.00
flask,tornado,Codex,2,0,2,0.00
httpx,aiohttp,Codex,4,0,4,0.00
httpx,requests,Codex,4,1,3,25.00
httpx,urllib3,Codex,4,2,2,50.00
importlib-metadata,setuptools,Codex,1,0,1,0.00
jinja2,mako,Codex,7,0,7,0.00
jsonschema,cerberus,Codex,7,1,6,14.29
matplotlib,altair,Codex,16,4,12,25.00
matplotlib,plotly,Codex,16,3,13,18.75
matplotlib,seaborn,Codex,16,2,14,12.50
pygments,rich,Codex,4,0,4,0.00
python-dotenv,dynaconf,Codex,12,1,11,8.33
python-dotenv,environs,Codex,12,1,11,8.33
requests,aiohttp,Codex,57,8,49,14.04
requests,httpx,Codex,56,4,52,7.14
requests,pycurl,Codex,58,18,40,31.03
requests,requests_futures,Codex,57,0,57,0.00
requests,treq,Codex,58,5,53,8.62
requests,urllib3,Codex,58,30,28,51.72
seaborn,altair,Codex,4,1,3,25.00
seaborn,plotly,Codex,5,2,3,40.00
sqlalchemy,sqlobject,Codex,2,1,1,50.00
sqlalchemy,tortoise-orm,Codex,2,1,1,50.00
tabulate,prettytable,Codex,5,1,4,20.00
tabulate,rich,Codex,5,2,3,40.00
toml,tomli,Codex,6,2,4,33.33
toml,tomlkit,Codex,6,0,6,0.00
tqdm,alive-progress,Codex,13,7,6,53.85
tqdm,progressbar2,Codex,13,6,7,46.15
urllib3,aiohttp,Codex,6,2,4,33.33
urllib3,httpx,Codex,6,1,5,16.67
urllib3,requests,Codex,6,1,5,16.67
